model,education,income,sample,age,rho,var_alpha,sigma2,omega2,theta,sterr_rho,sterr_theta,sterr_var_alpha,sterr_sigma2,sterr_omega2
"model_constant","highskill","market","sample_baseline",26,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",27,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",28,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",29,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",30,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",31,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",32,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",33,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",34,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",35,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",36,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",37,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",38,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",39,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",40,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",41,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",42,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",43,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",44,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",45,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",46,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",47,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",48,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",49,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",50,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",51,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",52,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",53,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",54,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",55,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",56,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",57,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",58,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",59,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","highskill","market","sample_baseline",60,.75,.077078,.10959,.014493,.30634,0,.0096864,.0007529,.0007359,.0005002
"model_constant","lowskill","market","sample_baseline",26,1,,.17659,.041355,.28902,0,.0037636,,.0007863,.0004704
"model_constant","lowskill","market","sample_baseline",27,1,,.17659,.041355,.28902,0,.0037636,,.0007863,.0004704
"model_constant","lowskill","market","sample_baseline",28,1,,.17659,.041355,.28902,0,.0037636,,.0007863,.0004704
"model_constant","lowskill","market","sample_baseline",29,1,,.17659,.041355,.28902,0,.0037636,,.0007863,.0004704
