model,education,income,sample,age,rho,var_alpha,sigma2,omega2,theta,sterr_rho,sterr_theta,sterr_var_alpha,sterr_sigma2,sterr_omega2
"model_baseline","highskill","disposable","sample_baseline",26,.94,.000447,.17673,.1517,.27022,.0299098,.0056519,.0149221,.0105267,.0063942
"model_baseline","highskill","disposable","sample_baseline",27,.94,.000447,.13184,.11234,.27022,.0299098,.0056519,.0149221,.0072486,.0033621
"model_baseline","highskill","disposable","sample_baseline",28,.94,.000447,.11204,.076107,.27022,.0299098,.0056519,.0149221,.0059691,.0029064
"model_baseline","highskill","disposable","sample_baseline",29,.94,.000447,.087878,.053339,.27022,.0299098,.0056519,.0149221,.0057937,.0022586
"model_baseline","highskill","disposable","sample_baseline",30,.94,.000447,.07355,.036031,.27022,.0299098,.0056519,.0149221,.0045865,.0020318
"model_baseline","highskill","disposable","sample_baseline",31,.94,.000447,.060616,.026602,.27022,.0299098,.0056519,.0149221,.0036055,.0015261
"model_baseline","highskill","disposable","sample_baseline",32,.94,.000447,.045256,.02359,.27022,.0299098,.0056519,.0149221,.0021154,.0012495
"model_baseline","highskill","disposable","sample_baseline",33,.94,.000447,.039589,.018634,.27022,.0299098,.0056519,.0149221,.0017277,.0011607
"model_baseline","highskill","disposable","sample_baseline",34,.94,.000447,.03569,.015219,.27022,.0299098,.0056519,.0149221,.0015856,.0011568
"model_baseline","highskill","disposable","sample_baseline",35,.94,.000447,.033171,.013101,.27022,.0299098,.0056519,.0149221,.0013266,.0011737
"model_baseline","highskill","disposable","sample_baseline",36,.94,.000447,.029456,.013113,.27022,.0299098,.0056519,.0149221,.0010512,.0010539
"model_baseline","highskill","disposable","sample_baseline",37,.94,.000447,.028152,.012118,.27022,.0299098,.0056519,.0149221,.0008935,.000713
"model_baseline","highskill","disposable","sample_baseline",38,.94,.000447,.02705,.012578,.27022,.0299098,.0056519,.0149221,.0009779,.0008884
"model_baseline","highskill","disposable","sample_baseline",39,.94,.000447,.026212,.012095,.27022,.0299098,.0056519,.0149221,.0009485,.0010668
"model_baseline","highskill","disposable","sample_baseline",40,.94,.000447,.024769,.012436,.27022,.0299098,.0056519,.0149221,.0009253,.0009063
"model_baseline","highskill","disposable","sample_baseline",41,.94,.000447,.024915,.01162,.27022,.0299098,.0056519,.0149221,.0009457,.0009725
"model_baseline","highskill","disposable","sample_baseline",42,.94,.000447,.023021,.012368,.27022,.0299098,.0056519,.0149221,.0009974,.0010749
"model_baseline","highskill","disposable","sample_baseline",43,.94,.000447,.024048,.012075,.27022,.0299098,.0056519,.0149221,.0011292,.0011122
"model_baseline","highskill","disposable","sample_baseline",44,.94,.000447,.023536,.011495,.27022,.0299098,.0056519,.0149221,.001152,.0010515
"model_baseline","highskill","disposable","sample_baseline",45,.94,.000447,.026328,.01002,.27022,.0299098,.0056519,.0149221,.0014872,.0011498
"model_baseline","highskill","disposable","sample_baseline",46,.94,.000447,.028536,.010061,.27022,.0299098,.0056519,.0149221,.0015313,.0011165
"model_baseline","highskill","disposable","sample_baseline",47,.94,.000447,.026249,.0096369,.27022,.0299098,.0056519,.0149221,.0014576,.0011291
"model_baseline","highskill","disposable","sample_baseline",48,.94,.000447,.027265,.0092274,.27022,.0299098,.0056519,.0149221,.0014784,.0012869
"model_baseline","highskill","disposable","sample_baseline",49,.94,.000447,.030022,.011266,.27022,.0299098,.0056519,.0149221,.0017478,.0012266
"model_baseline","highskill","disposable","sample_baseline",50,.94,.000447,.027801,.013108,.27022,.0299098,.0056519,.0149221,.0016681,.0014941
"model_baseline","highskill","disposable","sample_baseline",51,.94,.000447,.030837,.01274,.27022,.0299098,.0056519,.0149221,.0020891,.0016684
"model_baseline","highskill","disposable","sample_baseline",52,.94,.000447,.030091,.011395,.27022,.0299098,.0056519,.0149221,.0019862,.0017131
"model_baseline","highskill","disposable","sample_baseline",53,.94,.000447,.031671,.011667,.27022,.0299098,.0056519,.0149221,.0022768,.0017372
"model_baseline","highskill","disposable","sample_baseline",54,.94,.000447,.034484,.01025,.27022,.0299098,.0056519,.0149221,.0028067,.0018756
"model_baseline","highskill","disposable","sample_baseline",55,.94,.000447,.039321,.010176,.27022,.0299098,.0056519,.0149221,.0028117,.0022595
"model_baseline","highskill","disposable","sample_baseline",56,.94,.000447,.039028,.012091,.27022,.0299098,.0056519,.0149221,.0030965,.0023498
"model_baseline","highskill","disposable","sample_baseline",57,.94,.000447,.051163,.0076805,.27022,.0299098,.0056519,.0149221,.0032782,.0026185
"model_baseline","highskill","disposable","sample_baseline",58,.94,.000447,.083437,.0002673,.27022,.0299098,.0056519,.0149221,.0038654,.0005424
"model_baseline","highskill","disposable","sample_baseline",59,.94,.000447,.08356,.015849,.27022,.0299098,.0056519,.0149221,.0052804,.0043193
"model_baseline","highskill","disposable","sample_baseline",60,.94,.000447,.08356,.015849,.27022,.0299098,.0056519,.0149221,.0052804,.0043193
"model_baseline","highskill","disposable(family)","sample_baseline",26,.85,.030992,.13996,.11917,.27816,.0106517,.0056654,.0008683,.0065689,.0051921
"model_baseline","highskill","disposable(family)","sample_baseline",27,.85,.030992,.10295,.085181,.27816,.0106517,.0056654,.0008683,.0028525,.0029066
"model_baseline","highskill","disposable(family)","sample_baseline",28,.85,.030992,.081851,.058868,.27816,.0106517,.0056654,.0008683,.0018591,.0020668
