model,education,income,sample,rho,var_alpha,var_beta,rho_alpha_beta,theta,sterr_rho,sterr_theta,sterr_var_alpha,sterr_var_beta,sterr_rho_alpha_beta
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","highskill","market","sample_baseline",.9,.026887,.0002773,-.99893,.29343,.0458572,.0049167,.0327795,.0000975,.0678347
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","lowskill","market","sample_baseline",1,,3.59e-08,,.2385,0,.0035884,,1.90e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","mediumskill","market","sample_baseline",1,,4.72e-08,,.25883,0,.0028946,,1.78e-09,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
"model_profile","pooled","market","sample_baseline",1,,4.20e-08,,.27147,0,.0017842,,9.95e-10,
